codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11338953,EVENTOS / N-401 (161.2 - 162.0),CIUDAD REAL,1,MALAGON,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-401 </span> </b> a la altura de <b>MALAGON (CIUDAD REAL)</b> desde el <b> km 161.2</b> al <b> km 162</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTES INTERMITENTES</b></span>",?,-3.8199265,162,ORDEN PÚBLICO,N-401,10:32,1,Castilla-La Mancha,161.2,INC_ACT_EVD_NAP_CAC.png,Incidencia,?,39.1962,NO APLICA
11338967,EVENTOS / CC-324 (0.0 - 6.0),CÁCERES,1,ESTACION DE ARROYO-MALPARTIDA,21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">CC-324 </span> </b> desde el <b> km 0 </b> en <b>ESTACION DE ARROYO-MALPARTIDA (CÁCERES)</b> al <b> km 6</b> en <b>CACERES (CÁCERES)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-6.3825555,6,ORDEN PÚBLICO,CC-324,10:35,1,Extremadura,0,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,39.48633,NEGRO
11338027,EVENTOS / RM-19 (21.8 - 21.8),MURCIA,1,SAN CAYETANO,21/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">RM-19 </span> </b> en el <b> km 21.8</b> en <b>SAN CAYETANO (MURCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.8921135,21.8,ORDEN PÚBLICO,RM-19,09:26,1,"Murcia, Región de",21.8,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,37.81095,AMARILLO
11339060,EVENTOS / A-7 (627.35 - 627.35),MURCIA,1,VIQUEJOS,21/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 627.35</b> en <b>VIQUEJOS (MURCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-1.6425139,627.35,ORDEN PÚBLICO,A-7,10:33,1,"Murcia, Región de",627.35,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,37.702,AMARILLO
11338946,EVENTOS / A-7 (611.0 - 611.0),MURCIA,1,ÑORICA (LA),21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-7 </span> </b> en el <b> km 611</b> en <b>ÑORICA (LA) (MURCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-1.465245,611,ORDEN PÚBLICO,A-7,10:30,1,"Murcia, Región de",611,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,37.757168,AMARILLO
11339136,EVENTOS / A-30 (90.0 - 90.0),MURCIA,1,RAMBLAS (LAS),21/02/2024,EVENTOS,CRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-30 </span> </b> en el <b> km 90</b> en <b>RAMBLAS (LAS) (MURCIA)</b> sentido <b>CRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-1.4832506,90,ORDEN PÚBLICO,A-30,10:45,1,"Murcia, Región de",90,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,38.31325,AMARILLO
11338969,EVENTOS / A-30 (157.44 - 157.44),MURCIA,1,ZENETA,21/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-30 </span> </b> en el <b> km 157.44</b> en <b>ZENETA (MURCIA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-1.1239069,157.44,ORDEN PÚBLICO,A-30,10:36,1,"Murcia, Región de",157.44,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,37.869297,AMARILLO
11337498,EVENTOS / N-6 (57.0 - 57.0),SEGOVIA,1,GUDILLOS,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-6 </span> </b> en el <b> km 57</b> en <b>GUDILLOS (SEGOVIA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-4.1423426,57,ORDEN PÚBLICO,N-6,08:51,1,Castilla y León,57,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,40.708023,ROJO
11338194,EVENTOS / N-232 (215.0 - 215.0),ZARAGOZA,1,RODEN,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación irregular  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-232 </span> </b> en el <b> km 215</b> en <b>RODEN (ZARAGOZA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.6731418,215,ORDEN PÚBLICO,N-232,09:32,1,Aragón,215,INC_ACT_EVD_LS3_CAC.png,Incidencia,?,41.53463,AMARILLO
11338254,EVENTOS / N-122 (55.0 - 49.8),ZARAGOZA,1,MAGALLON,21/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-122 </span> </b> a la altura de <b>MAGALLON (ZARAGOZA)</b> desde el <b> km 55</b> al <b> km 49.8</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-1.4357932,49.8,ORDEN PÚBLICO,N-122,09:40,1,Aragón,55,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,41.83467,ROJO
11338101,EVENTOS / A-127 (1.0 - 0.0),ZARAGOZA,1,MAGALLON,21/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-127 </span> </b> a la altura de <b>MAGALLON (ZARAGOZA)</b> desde el <b> km 1</b> al <b> km 0</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-1.3621547,0,ORDEN PÚBLICO,A-127,09:40,1,Aragón,1,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,41.857235,ROJO
11338341,EVENTOS / A-2 (270.0 - 273.0),ZARAGOZA,1,RICLA,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-2 </span> </b> desde el <b> km 270 </b> en <b>RICLA (ZARAGOZA)</b> al <b> km 273</b> en <b>ALMUNIA DE DOÑA GODINA (LA) (ZARAGOZA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-1.3920579,273,ORDEN PÚBLICO,A-2,09:46,1,Aragón,270,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.4815,NEGRO
11338613,EVENTOS / A-23 (214.0 - 216.0),ZARAGOZA,1,VILLADOZ,21/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-23 </span> </b> a la altura de <b>VILLADOZ (ZARAGOZA)</b> desde el <b> km 214</b> al <b> km 216</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-1.2935804,216,ORDEN PÚBLICO,A-23,10:00,1,Aragón,214,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.156315,NEGRO
