codEle,alias,provincia,precision,poblacion,fecha,suceso,sentido,descripcion,fechaFin,lng,pkFinal,causa,carretera,hora,estado,autonomia,pkIni,icono,tipo,horaFin,lat,nivel
11239811,EVENTOS / N-240 (198.0 - 198.0),HUESCA,1,SIETAMO,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-240 </span> </b> en el <b> km 198</b> en <b>SIETAMO (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.2904642,198,ORDEN PÚBLICO,N-240,15:48,1,Aragón,198,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.123257,NEGRO
11239698,EVENTOS / A-129 (51.0 - 51.0),HUESCA,1,LANAJA,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-129 </span> </b> en el <b> km 51</b> en <b>LANAJA (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,-0.3347893,51,ORDEN PÚBLICO,A-129,15:47,1,Aragón,51,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.77067,NEGRO
11239808,EVENTOS / N-123 (0.0 - 0.0),HUESCA,1,BARBASTRO,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">N-123 </span> </b> en el <b> km 0</b> en <b>BARBASTRO (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,0.13665,0,ORDEN PÚBLICO,N-123,15:48,1,Aragón,0,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.02209,NEGRO
11239886,EVENTOS / A-133 (27.0 - 27.0),HUESCA,1,ESTADILLA,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-133 </span> </b> en el <b> km 27</b> en <b>ESTADILLA (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,0.2398406,27,ORDEN PÚBLICO,A-133,16:14,1,Aragón,27,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.05511,NEGRO
11239917,EVENTOS / A-1605 (25.0 - 25.0),HUESCA,1,RODA DE ISABENA,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-1605 </span> </b> en el <b> km 25</b> en <b>RODA DE ISABENA (HUESCA)</b> sentido <b>AMBOS SENTIDOS</b></span>",?,0.5344628,25,ORDEN PÚBLICO,A-1605,15:55,1,Aragón,25,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,42.286877,NEGRO
11239974,EVENTOS / A-4 (508.0 - 508.0),SEVILLA,1,CARMONA,11/02/2024,EVENTOS,AMBOS SENTIDOS,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación difícil  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-4 </span> </b> en el <b> km 508</b> en <b>CARMONA (SEVILLA)</b> sentido <b>AMBOS SENTIDOS</b></span><span style=""margin-top:10px; float:left; clear:both""> Advertencia: <b>CORTE TOTAL</b></span>",?,-5.6535735,508,ORDEN PÚBLICO,A-4,16:13,1,Andalucía,508,INC_ACT_EVD_LS2_CAC.png,Incidencia,?,37.48345,ROJO
11239931,EVENTOS / A-23 (321.0 - 321.0),ZARAGOZA,1,ONTINAR DE SALZ,11/02/2024,EVENTOS,DECRECIENTE DE LA KILOMETRACIÓN,"<span style=""margin-top:10px; float:left; clear:both""> <b>ACTIVIDADES (MANIFESTACIÓN)</b> por <b>ORDEN PÚBLICO</b> con circulación interrumpida  en<b></b>: </span> <span style=""margin-top:10px; float:left; clear:both"">  -  La carretera  <b> <span style=""color:#ab3000"">A-23 </span> </b> en el <b> km 321</b> en <b>ONTINAR DE SALZ (ZARAGOZA)</b> sentido <b>DECRECIENTE DE LA KILOMETRACIÓN</b></span>",?,-0.7555423,321,ORDEN PÚBLICO,A-23,16:02,1,Aragón,321,INC_ACT_EVD_LS1_CAC.png,Incidencia,?,41.912292,NEGRO
